"","sgCtu1_input","sgCtu1_polysome","sgCtu2_input","sgCtu2_polysome","sgCtu1_TE","sgCtu2_TE"
"Mrpl15",0,0,0,0,0,0
"Lypla1",0,0,1,0,0,0
"Tcea1",0,0,0,0,0,0
"Atp6v1h",0,0,0,0,0,0
"Rb1cc1",0,0,0,0,0,0
"St18",0,0,0,0,0,0
"Pcmtd1",0,0,0,0,0,0
"Gm26901",0,0,0,0,0,0
"Sntg1",0,0,0,0,0,0
"Rrs1",0,0,0,0,0,0
"Adhfe1",0,0,0,0,0,0
"Vcpip1",0,0,-1,0,0,0
"1700034P13Rik",0,0,0,0,0,0
"Sgk3",0,0,0,0,0,0
"Snhg6",0,0,0,0,0,0
"Cops5",0,0,0,0,0,0
"Cspp1",0,0,0,0,0,0
"Arfgef1",0,0,0,0,0,0
"Prex2",0,0,0,0,0,0
"Tram1",0,0,0,0,0,0
"Lactb2",0,0,0,0,0,0
"Terf1",0,0,0,0,0,0
"Rpl7",0,1,0,0,0,0
"Ube2w",0,0,0,0,0,0
"Eloc",0,0,0,0,0,0
"Tmem70",0,0,0,0,0,0
"Ly96",0,0,0,0,0,0
"Gm28376",0,0,0,0,0,0
"Gm28756",0,0,0,0,0,0
"Mcm3",0,0,0,0,0,0
"Tmem14a",0,0,0,0,0,0
"Kcnq5",0,0,0,0,0,0
"Ogfrl1",0,0,0,0,0,0
"Smap1",0,0,0,0,0,0
"Sdhaf4",0,0,0,0,0,0
"Col19a1",0,0,0,0,0,0
"Lmbrd1",0,0,0,0,0,0
"Phf3",0,0,0,0,0,0
"4931428L18Rik",0,0,0,0,0,0
"Khdrbs2",0,0,0,0,0,0
"Zfp451",0,0,0,0,0,0
"Dst",0,0,0,0,0,0
"Ccdc115",0,0,0,0,0,0
"Imp4",0,0,0,0,0,0
"Ptpn18",0,0,0,0,0,0
"Fam168b",0,0,0,0,0,0
"Plekhb2",0,0,0,0,0,0
"Uggt1",0,0,0,0,0,0
"Neurl3",0,0,0,0,0,0
"Arid5a",0,0,0,0,0,0
"Kansl3",0,0,0,0,0,0
"Lman2l",0,0,0,0,0,0
"Cox5b",0,0,0,0,0,0
"Actr1b",0,0,0,0,0,0
"Tmem131",0,0,0,0,0,0
"Coa5",0,0,0,0,0,0
"Unc50",0,0,0,0,0,0
"Mgat4a",0,0,0,0,0,0
"Mitd1",0,0,0,0,0,0
"Mrpl30",0,0,0,0,0,0
"Txndc9",0,0,0,0,0,0
"Eif5b",0,0,0,-1,0,0
"Pdcl3",0,0,0,0,0,0
"Rpl31",0,0,0,0,0,0
"Tbc1d8",0,0,0,0,0,0
"Rnf149",0,0,0,0,0,0
"Creg2",0,0,0,0,0,0
"Map4k4",0,0,0,0,0,0
"Il1r2",0,0,1,0,0,0
"Il1rl2",0,0,0,0,0,0
"Mrps9",0,0,0,0,0,0
"Uxs1",0,0,0,0,0,0
"Tpp2",0,0,0,0,0,0
"Tex30",0,0,0,0,0,0
"Col5a2",0,0,0,0,0,0
"Wdr75",0,0,0,0,0,0
"Dnah7b",0,0,0,0,0,0
"Dnah7c",0,0,0,0,0,0
"Gm29325",0,0,0,0,0,0
"Nabp1",0,0,0,0,0,0
"Myo1b",0,0,0,0,0,0
"Stat1",0,0,0,0,0,0
"Gls",0,0,0,0,0,0
"Nab1",0,0,0,0,0,0
"Inpp1",0,0,0,0,0,0
"Ormdl1",0,0,0,0,0,0
"Asnsd1",0,0,0,0,0,0
"Stk17b",0,0,0,0,0,0
"Gtf3c3",0,0,0,0,0,0
"Pgap1",0,0,0,0,0,0
"Ankrd44",0,0,0,0,0,0
"Sf3b1",0,0,0,0,0,0
"Coq10b",0,0,0,0,0,0
"Hspd1",0,0,0,0,0,0
"Hspe1",0,0,0,0,0,0
"Mob4",0,0,0,0,0,0
"Gm10561",0,0,0,0,0,0
"Satb2",0,0,0,0,0,0
"9130024F11Rik",0,0,0,0,0,0
"Tyw5",0,0,0,0,0,0
"Maip1",0,0,0,0,0,0
"Aox4",0,0,0,0,0,0
"Bzw1",0,0,0,0,0,0
"Clk1",0,0,0,0,0,0
"Ppil3",0,0,0,0,0,0
"Nif3l1",0,0,0,0,0,0
"Orc2",0,0,0,0,0,0
"Ndufb3",0,0,0,0,0,0
"Cflar",0,0,0,0,0,0
"Casp8",0,0,0,0,0,0
"Trak2",0,0,0,0,0,0
"Tmem237",0,0,0,0,0,0
"Fzd7",0,0,0,0,0,0
"Sumo1",0,0,0,0,0,0
"Nop58",0,0,0,0,0,0
"Bmpr2",0,0,0,0,0,0
"Fam117b",0,0,0,0,0,0
"Wdr12",0,0,0,0,0,0
"Carf",0,0,0,0,0,0
"Nbeal1",0,0,0,0,0,0
"Cyp20a1",0,0,0,0,0,0
"Abi2",0,0,0,0,0,0
"Raph1",0,0,0,0,0,0
"Ctla4",0,0,0,0,0,0
"Pard3b",0,0,0,0,0,0
"Nrp2",0,0,0,0,0,0
