"","gene","my_genes","sgAI987944_p1...sgCtrNT_p1","sgAtf3_p2...sgCtrNT_p2","sgBach1_p1...sgCtrNT_p1","sgBhlhe40_p1...sgCtrNT_p1","sgCebpb_p1...sgCtrNT_p1","sgE2f5_p3...sgCtrNT_p3","sgEgr1_p1...sgCtrNT_p1","sgEgr2_p3...sgCtrNT_p3","sgEtv3_p3...sgCtrNT_p3","sgEtv6_p1...sgCtrNT_p1","sgFli1_p3...sgCtrNT_p3","sgFosl2_p3...sgCtrNT_p3","sgIrf1_p8...sgCtrNT_p8","sgIrf2_p4...sgCtrNT_p4","sgIrf3_p5...sgCtrNT_p5","sgIrf4_p8...sgCtrNT_p8","sgIrf7_p4...sgCtrNT_p4","sgIrf9_p4...sgCtrNT_p4","sgJun_p8...sgCtrNT_p8","sgJunb_p4...sgCtrNT_p4","sgKlf3_p5...sgCtrNT_p5","sgKlf6_p4...sgCtrNT_p4","sgMafb_p5...sgCtrNT_p5","sgMax_p5...sgCtrNT_p5","sgNfe2l2_p4...sgCtrNT_p4","sgNfkb1_p8...sgCtrNT_p8","sgNfkb2_p6...sgCtrNT_p6","sgPparg_p7...sgCtrNT_p7","sgRbpj_p6...sgCtrNT_p6","sgRela_p8...sgCtrNT_p8","sgRest_p7...sgCtrNT_p7","sgStat1_p8...sgCtrNT_p8","sgStat2_p7...sgCtrNT_p7","sgStat3_p8...sgCtrNT_p8","sgStat5a_p8...sgCtrNT_p8","sgTgif1_p8...sgCtrNT_p8"
"28","Slc29a3","FALSE","-0.055724640","-0.385849596","-0.239686386","-0.0048373186"," 0.468510987","-0.254017026","-0.023109801","-0.034624324","-0.332156382","-0.197571628"," 0.031882121","-0.353081592"," 0.098007011","-0.2454264588","-0.56315420","-0.093558309","-0.0303371429","-0.147552082","-0.266040603","-0.30981539"," 0.20865344"," 0.3655782035"," 0.142161204","-0.005376517"," 0.07649997","-0.267508983"," 0.1411596146"," 0.249558348"," 0.080485274"," 0.39691220"," 0.295497365","-0.244877234"," 0.068239896","-0.070428331","-0.383601923","-9.129212e-02"
"29","Slco3a1","FALSE","-0.197205241"," 0.492609319"," 0.141404146","-0.3876063470","-0.421643298","-0.223693277"," 0.015872825"," 0.108425536","-0.330523709"," 0.162204232","-0.381649938","-0.001238619","-0.187406398"," 0.3675796608"," 0.25369576"," 0.279578915","-0.0662225734"," 0.212757794"," 0.135228733","-0.13815734","-0.14212816"," 0.0797469653"," 0.051984187","-0.205718926"," 0.28912678"," 0.005761279"," 0.5187783766"," 0.336973751","-0.358854770","-0.41073239","-0.049078961"," 0.135515651","-0.013766687","-0.096375387"," 0.062041138","-5.393262e-02"
"30","Slc6a6","FALSE","-0.246796426"," 0.047260598","-0.015348846","-0.2347223287","-0.130139355","-0.254949009","-0.010825443","-0.024435871","-0.451312765","-0.186554992"," 0.015034233","-0.287770339","-0.120648212","-0.2292174934","-0.04507670","-0.001051043","-0.0627620687","-0.143906784","-0.027175596"," 0.20019270","-0.00798489","-0.1590698969","-0.002126994","-0.115044641","-0.20520718","-0.165657264"," 0.0824776666","-0.041342931","-0.185703682","-0.43202530"," 0.052190639","-0.448503229","-0.048920388","-0.308476288","-0.305216659"," 2.718626e-02"
"31","Slc6a8","FALSE"," 0.045762402","-0.638521686","-0.118223707"," 0.2206934273","-0.099422986","-0.006959033"," 0.015516065"," 0.069619009"," 0.080896822"," 0.159270566","-0.175397014","-0.018475801"," 0.004985983","-0.0055202827"," 0.38893143","-0.438043333"," 0.0943607708"," 0.525474029","-0.608771608"," 0.14413012","-0.34953952"," 0.4002204227","-0.346087628","-0.569236668"," 0.01949741","-0.077797767","-0.2514646632","-0.034897250"," 0.093537787"," 0.18306063"," 0.239152571","-0.017206435"," 0.279827346","-0.351607547","-0.109146336","-3.140331e-01"
"32","Slc38a6","FALSE","-0.418198786"," 0.034832232"," 0.102255145","-0.0816468480","-0.301689067"," 0.027461639"," 0.239935027"," 0.115708379","-0.101362756"," 0.064046095","-0.013681746"," 0.198151859","-0.053454460"," 0.0880365650"," 0.53761586"," 0.127626423","-0.3210158174"," 0.372901690","-0.023887319"," 0.20227662"," 0.12838194","-0.2332222304","-0.206102275","-0.025167763","-0.09726862"," 0.224733118"," 0.3991226428","-0.066680238"," 0.464061191","-0.70807135","-0.014467261","-0.136753629"," 0.456822760","-0.378870614","-0.064476845","-9.772204e-02"
"33","Slc23a2","FALSE","-0.266715841","-0.129310222","-0.062064375","-0.0375455044"," 0.154769621","-0.042915495"," 0.083136825"," 0.065453364"," 0.183130366"," 0.226315823","-0.017276184","-0.044302814","-0.124342964"," 0.0006573295","-0.98632457","-0.121119756"," 0.1714375522"," 0.264675858"," 0.074043972"," 0.03986842"," 0.04702280"," 0.2668288751","-0.057425996","-0.197417484"," 0.17468634"," 0.128751808","-0.2548835261"," 0.253409009"," 0.095414696"," 0.19124626"," 0.275207500","-0.219350307"," 0.184206902","-0.301704507","-0.047223217"," 5.737633e-02"
"34","Slc16a10","FALSE","-0.263431583","-0.414494642","-0.058812003"," 0.0374798469","-0.319428083"," 0.088654836"," 0.200514902"," 0.179768617"," 0.005820347"," 0.135885607","-0.128231731"," 0.187831486"," 0.344671034","-0.1121138887"," 0.17047260"," 0.024117264","-0.0856045524"," 0.137222712","-0.189567703"," 0.19093859"," 0.09065829"," 0.8133811490","-0.182466379"," 0.240142726"," 0.21202871"," 0.908015154","-0.4785142412","-0.269692188","-0.342208907"," 0.04395147","-0.141052998"," 0.067531896"," 0.132373142","-0.193778935"," 0.338978334"," 1.691781e-01"
"35","Slc37a2","FALSE","-0.027407821","-0.404694562"," 0.047410006"," 0.0606013905"," 0.213255581","-0.072822431","-0.078791126"," 0.255139318","-0.054200018","-0.110245553","-0.211674387","-0.377134436"," 0.042316674"," 0.1014504731","-0.20111507","-0.436937363"," 0.0268020609"," 0.006917273","-0.022395034"," 0.08410128","-0.14988189"," 0.3320239380","-0.324098185","-0.609807222","-0.13341947"," 0.080506457","-0.7304172603","-0.102698226","-0.315426466"," 0.76044005"," 0.043520026","-0.280897693","-0.006134971","-0.205668016"," 0.035294799","-4.331527e-01"
"36","Slc41a1","FALSE"," 0.458423202"," 0.026643066","-0.066187017"," 0.3219606621"," 1.578308628","-0.495047069","-0.168090735"," 0.523712792"," 0.444498046"," 0.377430698","-0.112490053"," 0.020086586","-0.086383099"," 0.7511622164"," 0.52820049","-0.211298653","-0.0189780504"," 0.419352564"," 0.943846733","-0.03805239","-0.66599320","-0.1591009031"," 0.286872534"," 0.327134866"," 0.77768333","-0.895806944"," 0.9140202635","-0.449211190"," 0.360449309"," 0.58533742","-1.019966950","-0.318034702","-0.059659327"," 0.438334315","-0.631349983"," 7.043577e-01"
"37","Slc2a1","FALSE"," 0.226428382"," 0.510234728"," 0.671455416","-0.0373687279"," 0.060197369"," 0.307778623"," 0.096625248","-0.241355420"," 0.188447748"," 0.216481542"," 0.242470488"," 0.047726662"," 0.115793476","-0.0348875899"," 0.47670972"," 0.191017890","-0.1242664468"," 0.304444997"," 0.121161032","-0.21298394","-0.01997567"," 0.1832261143","-0.051134020"," 0.305852187"," 0.14040601","-0.203454314","-0.4122148087"," 0.208568086"," 0.259047717"," 0.66325307","-0.197482081"," 0.042979003"," 0.571215543"," 0.009519188"," 0.313640721","-2.253995e-01"
