	sgAI987944_p1...sgCtrNT_p1	sgAtf3_p2...sgCtrNT_p2	sgBach1_p1...sgCtrNT_p1	sgBhlhe40_p1...sgCtrNT_p1	sgCebpb_p1...sgCtrNT_p1	sgE2f5_p3...sgCtrNT_p3	sgEgr1_p1...sgCtrNT_p1	sgEgr2_p3...sgCtrNT_p3	sgEtv3_p3...sgCtrNT_p3	sgEtv6_p1...sgCtrNT_p1	sgFli1_p3...sgCtrNT_p3	sgFosl2_p3...sgCtrNT_p3	sgIrf1_p8...sgCtrNT_p8	sgIrf2_p4...sgCtrNT_p4	sgIrf3_p5...sgCtrNT_p5	sgIrf4_p8...sgCtrNT_p8	sgIrf7_p4...sgCtrNT_p4	sgIrf9_p4...sgCtrNT_p4	sgJun_p8...sgCtrNT_p8	sgJunb_p4...sgCtrNT_p4	sgKlf3_p5...sgCtrNT_p5	sgKlf6_p4...sgCtrNT_p4	sgMafb_p5...sgCtrNT_p5	sgMax_p5...sgCtrNT_p5	sgNfe2l2_p4...sgCtrNT_p4	sgNfkb1_p8...sgCtrNT_p8	sgNfkb2_p6...sgCtrNT_p6	sgPparg_p7...sgCtrNT_p7	sgRbpj_p6...sgCtrNT_p6	sgRela_p8...sgCtrNT_p8	sgRest_p7...sgCtrNT_p7	sgStat1_p8...sgCtrNT_p8	sgStat2_p7...sgCtrNT_p7	sgStat3_p8...sgCtrNT_p8	sgStat5a_p8...sgCtrNT_p8	sgTgif1_p8...sgCtrNT_p8
Ifi206	-0.245591950983686	0.125471348904272	-0.294131677363287	-0.0155649613204307	-0.202184508110877	-0.00833390561318659	-0.184225158199997	-0.0426222498309823	0.055626693373128	-0.147703449954763	0.0683460265104578	0.0663350163141505	-0.144982296456472	-0.566843674271174	-0.714379725844061	-0.293715974608464	-0.10899583513382	-1.86416588420625	-0.10751278791105	-0.0842061591505932	-0.044534686042228	0.287559610914075	-4.22752914825963e-05	-0.331558129201056	0.0822336426718238	0.0897529045276464	0.140198965842266	0.35714231920308	0.119181290224141	-0.282881970874749	0.131429826170493	-0.340149352078688	-1.33142673483224	-0.221871603562844	-0.373331780978106	-0.1262916288425
Ccr7	-0.114571964613105	-0.266342868369723	-0.752879288662082	-1.51661294192264	3.19096981359298	0.0997041103544714	-0.264115257861112	-1.33163015315397	0.480973515865886	1.05184729960155	-0.30929569719251	0.0569482285455365	0.316910037088149	0.264402943827582	0.333145392724076	-1.99078018443556	0.271109023087715	0.0202857529128337	-0.0270100509238373	-0.238216061981373	0.0889647995680916	-0.000578921595740134	1.09065997366172	0.569001629588863	1.47064405565294	-1.03299917323947	0.92476589810987	-0.191084726869706	-0.300967084918805	0.394612566630611	0.0327224093153466	0.359997765249177	0.129743101219023	-0.125774115259655	-1.26340823339531	0.37114092289146
Cd74	-0.106990779730324	-0.480633237445961	-0.753328655308596	-0.874015031750861	1.42669356753372	0.0475304706465245	-0.243636449890767	-0.891502492831439	0.233264542079695	0.34382528245049	-0.36558919050206	-0.18663986496043	-0.00910288388965164	-0.0909535394900729	0.300930704972865	-1.81248242052666	-0.00473693714450185	0.0820490995513659	-0.515446618642944	-0.198894220402591	-0.137218640355854	-0.559695222068616	0.569301385347437	0.59145240868652	0.653533207160644	-0.511301684773599	0.723791251734415	-0.0160100068767193	0.946862322261289	-0.589642969351736	0.36620936873488	-0.255804360218479	0.0627934165057393	-0.0385867022083719	-1.01212226567171	-0.0515797196090642
H2.Aa	-0.0720532432844738	-1.22144421750396	-0.856114539758518	-0.851074864831336	1.19378020347701	0.0644731135071535	-0.169424495856106	-1.11374432402126	0.0944421281070582	0.249956459359367	-0.169741769024185	-0.00728982231016317	-0.0189825849692262	-0.578985225945694	0.310047511996975	-2.09487413917191	-0.171227097733132	0.0264495367390527	-0.849813051960918	-0.287247260496919	-0.198237260724042	-0.606384311060108	0.697560862395065	0.785627205380393	0.407160094826484	-0.769129060836094	0.517189842583697	-0.074356488245531	1.30077245494811	-0.312560804793755	0.711915217486577	-0.28294145106541	-0.0120938773745269	-0.115984268240897	-1.17615800987974	-0.0312170086932131
Ly6e	0.0572847520981146	-0.0211998893241034	-0.107296537920542	0.160828425975231	-0.68121218083235	0.130686060105756	-0.0391211174854202	0.128686324009303	-0.137995379111016	0.0741731766025637	-0.0743158987475763	-0.0414542417665942	-0.0636964831314835	0.35024820318929	-0.0656110243072412	0.179467066521132	0.105836690461782	-1.57948793463525	-0.00296000091259607	0.104474850009533	0.0608122573318326	0.00647664355181554	0.0168288258263534	-0.0173778311782922	0.0342472639903928	0.134186984896399	-0.0969435152206728	-0.248639000074151	-0.0836454848328056	-0.111799476242577	-0.137738391223548	0.119783775877284	-1.16345377769834	-0.0382322020519688	0.0919558234464848	-0.165085050346605
Fth1	0.230996913562356	-0.0753996091996925	0.365310072336721	-0.0592410430506174	-0.474128334105911	0.0910328228571888	0.0862375629562688	-0.0965485208085788	-0.104972473251927	0.163699149521502	-0.269472869179396	-0.134287233089916	0.126130342669091	-0.1385760236358	0.306162895962819	0.305383718141277	0.0132246295919103	0.0276847626792591	0.229158350643051	0.11618306803364	0.153308630199778	0.195378868540852	0.0236537184765524	-0.298153514135205	-0.347648728682136	-0.0597612753918852	-0.136653542873209	-0.282451178711796	-0.117146895627192	-0.0562231178807373	-0.189352576040623	0.0598854068030867	-0.0530144244311881	0.196444880950624	0.286250946192309	0.217189830886282
Stat1	-0.0977332887021447	-0.18391507418969	-0.223459483630426	-0.159334473291565	-0.111026128819541	-0.026717565038906	-6.58532586914617e-05	-0.214726800444874	-0.356343140198238	0.0702130476321017	-0.107577886233422	-0.364702809915272	-0.165926027817253	0.0270984607399374	-0.213928755902016	0.00281005410761459	-0.200573522344442	-1.37752974703374	0.0780413029638414	-0.0788881214903636	-0.0967914183142078	0.218781829417875	-0.170119626822842	-0.0141026248073253	0.0579635733546002	-0.203824180654713	0.0981397969741504	-0.140176335349359	0.274011918181104	-0.424532546839387	-0.100509292667647	-1.52075930991068	-1.45396684559863	-0.143853164339745	-0.192048561576343	-0.0682483659244095
Clec4e	-0.0435873225085626	0.333401963056168	0.187890735164562	-0.40114348989343	-1.11871395587221	0.203184481437001	-0.0455052225994663	-0.137494008599798	0.234591329591783	-0.123291651405072	-0.0740631056634502	0.284542689018199	0.239733669751294	0.10955938670628	0.843496391132255	0.334919343686071	-0.00410630486742924	0.408237972720537	0.104685231751869	0.278633529927776	0.200923749097061	-0.0622372442106283	0.409583981933958	-0.129970328750995	0.023477660750638	0.485568534088126	0.0754794599250914	-0.091299574257846	-0.549345217376871	-1.6811625073979	-0.198768674534421	0.256117736533009	0.0917433255139652	0.180313456782345	0.151318537493385	0.312776152971097
Cd69	-0.093864162260747	-0.308159242005569	-0.203858090137857	-0.320150117298455	-0.435945452708957	-0.0205870511951805	-0.0466311294883184	-0.346994946207854	-0.31035552529076	0.146720188528667	-0.0585750437240513	-0.274586381800141	-0.174997900115294	-0.753600071213217	-0.532588486938353	-0.452225351417512	-0.35498302832737	-2.28352257704484	-0.113152230245806	0.0167550822842717	-0.125269063883401	0.129159076196794	-0.339924039695786	-0.334518930621106	-0.217800021447951	-0.566599867431741	-0.323463880844793	-0.302033281136186	0.0368571201504775	-0.787899680566627	-0.171026656652643	-0.848267693677272	-2.18458194013562	-0.045905139999153	-0.132276903575084	0.152132405973269
Irf7	0.0654730939096915	-0.127932721353471	-0.0694345757438679	0.205627267674604	-0.395101176518657	0.121412712687924	-0.0291358673793987	0.339875761782134	-0.00035071396908215	0.0226157813956132	0.146618619201124	-0.0788683324852641	0.02304411488422	-0.174936398066306	-0.379133500340277	0.0805425776076252	-0.618006485169835	-2.3252709366478	0.11434034651103	-0.0487995114965649	-0.0654137962969701	0.316883209056551	-0.0104228400043933	-0.31326602765936	0.0294202828047236	0.0895967937314648	-0.273715778040796	0.00616405144334564	-0.079610304630684	-0.0108092389068997	-0.124300418092584	-0.107914481823217	-1.80501763823668	0.0396313960667829	0.0678097362207026	-0.0965232999358534
Ifit2	-0.250635935229045	0.177332465270254	-0.199386928890592	-0.229456552681285	-0.334945536592496	-0.148039633112862	-0.132407469012772	-0.0194220899529114	-0.327811725189905	-0.206422256396309	-0.0425642778564708	-0.24586225670785	-0.193989425536994	-0.128477123434051	-0.821886836182731	-0.000187889135835562	-0.125763056990102	-1.55297347625955	-0.0909955874250805	0.029907401870739	0.179928112531245	-0.127554152492884	-0.169345207241793	-0.200228102164608	0.0405890042977397	-0.0042964397060441	-0.0334635439505888	-0.0961928732076913	0.00807356397971226	-0.0956020534346731	-0.149758895858422	-0.420374415895749	-1.73696804681287	-0.27210255080098	-0.152267396969984	0.06752258778255
Ccl7	0.264258605332726	0.632678924397865	0.208473338208728	0.878212737344581	0.0637981864456911	0.136119463387937	0.0136393721967565	1.2944120038438	0.523985291136359	0.0937891447666708	-1.13108215676763	0.346725788905621	0.308428784973948	-0.139124774321308	-1.08521195728643	-0.112610514182384	0.204970275051496	-1.07196636748698	-0.672648903036873	0.0897776452787156	0.474204019152861	0.838658711485895	0.141826522666836	-0.711779773359392	0.622673942034007	0.0418476564866399	-0.346656523873552	0.324897946689131	-0.975321442493369	1.24092526916256	-0.325183170281587	0.521091635289375	-1.01907886187626	0.128046077636963	0.466770823196114	0.0682769811372133
Slfn4	-0.636809045750255	0.468379884124353	0.0517806312447675	0.0986968891330839	-0.897311363090968	-0.284918434213703	0.0489501013934284	0.231759771661213	-0.195080728419134	0.932189058104459	-0.5932716782884	-0.121248626519984	-0.242521965433863	-0.825962978677509	-0.210532102815164	0.243438790004953	-0.420317595351985	-2.3866658935563	0.355249278351289	-0.230537075007605	0.126506884935177	-0.155255172901784	-0.0409035844322538	-0.132708748310804	-0.00792683025528085	-0.0273557968010856	-0.151240590437242	0.173042130398633	-0.691507931687407	-0.458516674021909	0.111015087699355	-0.459492746963763	-1.53736884918348	-0.628766620470612	-0.378593423240441	-0.27846961738407
H2.Eb1	-0.0738908451101734	-1.37510868624486	-0.858931477603029	-1.03954434837203	1.40907898919403	-0.00117350718717546	-0.285809699012678	-1.10111939525445	0.352808101101316	0.105245729202977	0.0970128996706459	0.218528553369253	0.189215232430173	-0.728197851122006	0.205039834275905	-2.19060865318801	0.0985587584908263	0.177568346279716	-0.749608318587712	-0.197117762934107	-0.169204650447894	-0.458630450300669	0.840062384284306	0.849901173296149	0.55913883305683	-0.555997130343224	0.696863171183089	0.0697046332358813	1.32394454449021	-0.390785224767387	0.687775093702228	0.0266637057404964	0.146152432289323	-0.044200388468834	-1.04500779774398	0.170395281245172
