"","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome"
"Xkr4",5.53572236038129,4.22388824431227,3.90673489312488,4.285706481893,4.27071088569833,4.98255745400572,2.0952068200557,4.05996022388457,5.6846698007948,4.73330944488456,3.86867851826297
"Gm1992",0,0,0,0,0,0,0,0,0.324838274331131,0,0
"Gm19938",0,0,0,0,0,0,0,0,0,0,0
"Gm37381",0.714286756178231,0.422388824431227,1.30224496437496,0.571427530919067,0.284714059046555,0.642910639226544,0.698402273351898,0.270664014925638,0.162419137165566,0,0.241792407391436
"Rp1",1.78571689044558,2.32313853437175,3.90673489312488,2.5714238891358,0.854142177139666,1.92873191767963,3.49201136675949,1.89464810447946,2.43628705748348,1.41999283346537,0.967169629565744
"Sox17",0,0,0,0,0,0,0,0,0,0,0
"Gm37587",0,0,0,0,0,0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0,0,0,0,0,0
"Mrpl15",72.8572491301795,81.943431939658,109.388577007497,113.428364887435,89.9696426587115,81.4889235219644,94.9827091758582,124.234782850868,70.4899055298555,109.339448176833,112.433469437018
"Lypla1",39.6429149678918,43.717243328632,39.0673489312488,46.2856300044444,52.2450298350429,54.6474043342562,52.7293716380683,57.1101071493095,59.9326616140937,47.3330944488456,58.9973474035104
"Tcea1",69.2858153492884,58.0784633592937,110.690821971872,149.142585569877,65.3418765511845,61.0765107265217,100.919128499349,141.557279806109,59.2829850654314,105.079469676437,127.666391102678
"Rgs20",0.535715067133673,2.53433294658736,2.60448992874992,1.99999635821674,0.996499206662944,1.768004257873,0.698402273351898,0.811992044776913,1.13693396015896,0.473330944488456,0.725377222174308
"Gm16041",0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",98.928715730685,95.2486799092416,69.0189831118729,62.5713146356379,104.917130758656,105.758800152766,67.0466182417823,64.1473715373761,101.83679900281,81.4129224520144,66.9764968474278
"Oprk1",0.178571689044558,0.211194412215613,0,0,0,0,0,0.541328029851275,0.162419137165566,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1",21.2500309963024,18.7963026871896,31.2538791449991,22.8571012367627,20.6417692808753,16.0727659806636,21.9996716105848,26.7957374776381,20.3023921456957,31.7131732807265,18.6180153691406
"4732440D04Rik",0.535715067133673,0.63358323664684,1.30224496437496,0,0.711785147616388,0.321455319613272,0.349201136675949,0,0.487257411496697,0.473330944488456,0.241792407391436
"Alkal1",1.78571689044558,2.95672177101859,5.20897985749984,1.14285506183813,4.41306791522161,2.89309787651945,3.49201136675949,4.60128825373584,3.24838274331131,0.946661888976912,5.07764055522015
"St18",13.5714483673864,14.7836088550929,14.3246946081246,14.8571158038957,13.8086318637579,14.4654893825972,16.7616545604456,11.9092166567281,13.1559501104108,13.7265973901652,12.8149975917461
"Pcmtd1",11.9643031659854,14.3612200306617,15.6269395724995,19.9999635821674,12.812132657095,12.5367574649176,19.9044647905291,18.9464810447946,13.9680457962386,13.2532664456768,21.2777318504464
"Gm26901",4.10714884802483,5.91344354203718,5.20897985749984,6.85713037102881,6.97549444664061,4.66110213439244,12.2220397836582,7.03726438806658,11.3693396015896,3.31331661141919,13.7821672213118
"Gm30414",0,0,0,0,0.142357029523278,0,0,0,0,0,0
"Sntg1",15.1785935687874,9.92613737413383,6.51122482187481,7.99998543286694,12.812132657095,11.2509361864645,15.0156488770658,13.5332007462819,9.58272909276837,12.7799355011883,11.8478279621804
"Rrs1",17.1428821482775,16.6843585650335,19.5336744656244,16.2856846311934,18.2216997789795,16.0727659806636,14.6664477403899,14.8865208209101,18.3533624997089,17.5132449460729,19.1016001839234
"Adhfe1",12.6785899221636,11.8268870840744,14.3246946081246,13.7142607420576,15.0898451294674,14.7869447022105,10.8252352369544,11.0972246119511,13.9680457962386,18.9332377795382,16.2000912952262
"2610203C22Rik",1.07143013426735,1.47836088550929,1.30224496437496,0.285713765459534,0.569428118093111,0.80363829903318,0.698402273351898,0.811992044776913,1.29935309732452,0.473330944488456,0.483584814782872
"Vxn",0.178571689044558,0.211194412215613,0,0,0,0,0,0,0,0,0
"Gm29520",0,0,0,0,0,0,0,0,0,0,0
"Mybl1",1.78571689044558,2.32313853437175,0,0.571427530919067,1.99299841332589,3.53600851574599,0.698402273351898,0.811992044776913,2.11144878315235,0.946661888976912,0.967169629565744
"Vcpip1",105.357296536289,72.650877802171,110.690821971872,73.7141514885597,82.8517911825476,78.9172809650583,89.395490989043,78.2219003135093,62.6937869459083,65.7930012838954,66.009327217862
"1700034P13Rik",9.10715614127244,10.3485261985651,1.30224496437496,3.71427895097394,7.68727959425699,7.87565533052516,3.49201136675949,2.43597613433074,8.60821426977498,1.89332377795382,2.17613166652292
"Sgk3",21.6071743743915,28.5112456491078,11.7202046793746,25.714238891358,24.4854090780038,24.4306042906087,22.6980738839367,17.5931609701665,23.550774889007,22.7198853354459,25.8717875908836
"Mcmdc2",1.07143013426735,1.68955529772491,0,0.571427530919067,1.56592732475605,0.160727659806636,0.349201136675949,0,0.812095685827828,0,0.483584814782872
"Snhg6",21.0714593072578,24.9209406414424,2.60448992874992,3.99999271643347,26.6207645208529,26.6807915279016,3.49201136675949,4.60128825373584,20.6272304200268,4.2599785003961,6.0448101847859
"Tcf24",0.178571689044558,1.26716647329368,0,0,0,0.321455319613272,0.698402273351898,0.270664014925638,0.649676548662262,0.946661888976912,0.241792407391436
"Ppp1r42",0.535715067133673,1.68955529772491,0,1.14285506183813,0.711785147616388,1.12509361864645,0.349201136675949,0.270664014925638,0.487257411496697,1.41999283346537,0.725377222174308
"Gm15818",2.32143195757925,1.26716647329368,0,0,0.569428118093111,2.89309787651945,0.698402273351898,0.270664014925638,1.46177223449009,0,0.241792407391436
"Cops5",59.1072290737486,58.0784633592937,41.6718388599988,60.5713182774211,67.9043030826034,69.75580435608,59.0149920982354,63.3353794925992,70.652324667021,61.0596918390108,60.9316866626419
"Cspp1",12.500018233119,10.3485261985651,15.6269395724995,14.8571158038957,15.8016302770838,12.6974851247242,16.4124534237696,13.2625367313562,15.2673988935632,22.2465543909574,12.0896203695718
"Arfgef1",32.6786190951541,32.5239394812045,24.7426543231243,28.8570903114129,26.4784074913296,28.4487957857746,23.0472750206126,23.5477692985305,29.8851212384641,29.3465185582843,24.1792407391436
"Cpa6",2.85714702471292,3.80149941988104,1.30224496437496,1.7142825927572,2.13535544284917,3.85746383535926,2.79360909340759,1.35332007462819,2.76112533181461,0.473330944488456,1.69254685174005
"Prex2",12.3214465440745,13.3052479695836,16.9291845368745,10.2856955565432,9.96499206662944,13.6618510835641,17.8092579704734,8.39058446269477,11.3693396015896,11.3599426677229,12.8149975917461
"A830018L16Rik",6.78572418369319,5.06866589317472,6.51122482187481,6.85713037102881,5.124853062838,6.2683787324588,7.68242500687088,5.95460832836403,5.52225066362923,3.78664755590765,9.18811148087456
"Gm17644",0,0,0,0,0,0,0,0,0,0,0
"Gm29663",0,0,0,0,0,0,0,0,0,0,0
"Sulf1",1.07143013426735,0.844777648862454,6.51122482187481,1.42856882729767,0.284714059046555,0.964365958839816,0.698402273351898,0.541328029851275,0.812095685827828,0,0.241792407391436
"Slco5a1",0.178571689044558,0,0,0.285713765459534,0.142357029523278,0.482182979419908,0,0,0.974514822993394,0.473330944488456,0.483584814782872
"Gm29283",0.535715067133673,0.211194412215613,1.30224496437496,0.571427530919067,0.284714059046555,0.321455319613272,0,0.270664014925638,0,0.473330944488456,0
"Prdm14",0.178571689044558,0.211194412215613,0,0,0.284714059046555,0.160727659806636,0,0,0,0,0
"Ncoa2",6.42858080560408,6.12463795425279,5.20897985749984,5.99998907465021,8.11435068282683,6.91128937168535,4.88881591346329,6.4959363582153,7.47128030961602,6.15330227834993,7.25377222174308
"Gm29570",0.535715067133673,0.844777648862454,1.30224496437496,0,0.569428118093111,0.642910639226544,0.349201136675949,0,0,0.473330944488456,0.241792407391436
"Tram1",53.7500784024119,61.0351851303123,63.8100032543731,55.7141842646091,54.0956712188455,56.7368639117425,40.8565329910861,52.2381548806481,54.8976683619612,49.6997491712879,49.0838587004615
"Lactb2",16.4285953920993,16.6843585650335,23.4404093587493,14.2856882729767,13.6662748342347,16.8764042796968,14.6664477403899,20.8411291492741,17.3788476767155,15.619921168119,19.1016001839234
"Xkr9",0,0,0,0,0,0.321455319613272,0,0,0.162419137165566,0,0
"Eya1",1.78571689044558,2.74552735880297,0,1.14285506183813,0.996499206662944,2.2501872372929,2.79360909340759,1.35332007462819,3.73564015480801,0.946661888976912,0.725377222174308
"Gm9947",0,0,0,0,0,0,0,0,0,0,0
"Msc",0,0,0,0,0,0,0,0,0,0,0
"Trpa1",0,0,0,0,0.284714059046555,0,0,0,0,0,0
"Kcnb2",1.07143013426735,1.26716647329368,0,0,1.2812132657095,0.642910639226544,0,0.270664014925638,1.13693396015896,0,0.725377222174308
"Terf1",6.42858080560408,6.75822119089963,7.81346978624977,10.5714093220027,9.25320691901305,7.07201703149198,11.8728386469823,9.74390453732296,8.60821426977498,12.7799355011883,13.0567899991375
"Sbspon",0,0,0,0,0.142357029523278,0,0,0,0,0,0
"4930444P10Rik",0,0,0,0,0,0,0,0,0,0,0.483584814782872
"Rpl7",769.465408092999,712.56994681548,609.450643327482,682.570185682826,800.331219979867,839.159111850446,768.242500687088,806.308100463475,777.175571337231,741.236259068922,744.962407173014
"Rdh10",1.07143013426735,1.68955529772491,1.30224496437496,1.42856882729767,1.70828435427933,0.482182979419908,0.349201136675949,1.62398408955383,1.46177223449009,1.41999283346537,0.967169629565744
"Gm28095",0,0,0,0,0,0,0,0,0,0,0
"Stau2",5.35715067133673,5.70224912982156,5.20897985749984,5.71427530919067,6.12135226950094,5.30401277361899,4.53961477678734,5.14261628358712,6.17192721229149,3.78664755590765,7.49556462913451
"Gm7568",0.178571689044558,0,0,0.571427530919067,0.142357029523278,0,0.349201136675949,0.270664014925638,0.162419137165566,0,0
"Ube2w",56.7857971161693,61.2463795425279,46.8808187174986,65.7141660556927,71.0361577321156,72.3274469129862,91.4906978090987,87.424476820981,60.582338162756,68.6329869508261,93.0900768457028
"Eloc",306.429018400461,294.193816216349,420.625123493112,463.427727575363,314.609035246444,307.472013210095,432.660208341501,472.038042030312,308.433941477409,430.731159484495,525.41490126159
"D030040B21Rik",0.357143378089115,0,0,0,0,0,0,0,0,0,0
"Tmem70",18.2143122825449,15.4171920917398,16.9291845368745,17.4285396930315,16.94048651327,18.0014978983432,22.3488727472607,17.8638249850921,15.2673988935632,14.6732592791421,20.5523546282721
"Ly96",43.9286355049612,38.8597718476729,46.8808187174986,41.1427822261728,42.9918229160299,44.2001064468249,43.6501420844937,54.4034670000532,37.3564015480801,35.9731517811226,54.886876477856
"Gm28376",23.9286063319707,18.585108274974,11.7202046793746,15.1428295693553,21.9229825465848,22.1804170533158,14.6664477403899,18.4051530149434,18.8406199112056,13.7265973901652,15.9582988878348
"Jph1",1.2500018233119,1.26716647329368,1.30224496437496,1.42856882729767,0.854142177139666,0.642910639226544,0.349201136675949,3.24796817910765,0.974514822993394,0.473330944488456,1.69254685174005
"Gm28783",0,0,0,0,0,0,0,0,0,0,0
"Gdap1",0,0,0,0,0,0.160727659806636,0,0,0,0,0
"Gm28784",0,0,0,0,0,0,0,0,0,0,0
"Pi15",0.535715067133673,0,0,0.285713765459534,0.284714059046555,0.321455319613272,0,0,0.324838274331131,0,0.241792407391436
"Gm28154",0,0.211194412215613,0,0,0,0,0,0,0.162419137165566,0,0
"Gm16070",0.535715067133673,0.211194412215613,0,0,0.284714059046555,0,0.349201136675949,0.270664014925638,0,0,0.483584814782872
