"","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"Smap1",43.1341799455531,39.5390043124324,36.3169182142987,40.0582742089944,38.493335508239,30.7665113917496,34.5763142569753,38.5714848336245,40.5493271453978,35.160614038124,37.4285032751989
"Sdhaf4",74.7374404997208,71.6845362737596,109.649156916248,115.302870358322,67.8911993352064,94.1928579532027,133.227616472681,63.2143779217734,64.4142957257621,88.5526575774974,102.856955565432
"Col19a1",25.3395512551434,31.0204383426807,6.63482159684304,4.60128825373584,26.7991576323183,4.2599785003961,6.52839499956877,29.464328692352,25.5545238780892,7.81346978624977,4.85713401281207
"Lmbrd1",44.5577502407859,48.0575702821842,31.0789011641595,38.9756181492918,42.8786522117093,37.393144614588,36.027068701324,46.0714957734959,40.971715969829,31.2538791449991,36.5713619788203
"Phf3",19.502913044689,18.6444085375698,17.1108556971215,19.2171450597203,18.67820077404,25.0865400578882,18.6180153691406,20.5357442401241,18.7963026871896,16.9291845368745,21.7142461749246
"4931428L18Rik",33.4539019379703,32.4669872809405,37.0153204876506,28.9610495970432,33.4583422561065,31.7131732807265,40.3793320343698,38.750056522669,30.6231897712639,35.160614038124,27.9999490150343
"Khdrbs2",44.7001072703092,49.5041192204439,46.7929523145772,43.0355783731764,40.9296225657225,29.3465185582843,49.8092359226358,46.2500674625404,38.0149941988104,37.7651039668739,40.8570684607133
"Ccdc115",19.0758419561192,20.2516851356361,25.8408841140202,27.8783935373407,23.8756131633381,33.1331661141919,30.9494281461038,23.5714629538816,20.2746635726989,16.9291845368745,24.5713838295199
"Imp4",37.0128276760522,36.3244511162997,39.4597284443823,38.1636261045149,39.3054311940669,36.9198136700996,46.4241422191557,33.0357624732432,33.3687171300669,24.7426543231243,33.1427967933059
"Ptpn18",25.4819082846667,25.0735149298352,30.3804988908076,32.7503458060022,22.2514217916825,40.2331302815187,45.2151801821985,26.0714666005054,27.0328847635985,44.2763287887487,35.7142206824417
"Fam168b",29.0408340227486,31.8240766417139,29.3328954807797,36.8103060298867,31.022055198623,35.9731517811226,31.4330129608867,33.2143341622877,29.9896065346171,37.7651039668739,35.7142206824417
"Plekhb2",97.6569222529685,87.1143916151967,102.665134182729,101.499005597114,90.46745940122,90.8795413417835,83.176588142654,97.5001422183285,89.3352363672045,96.3661273637471,91.1426911815912
"Neurl3",33.311544908447,30.5382553632608,31.7773034375114,30.3143696716714,35.2449527649277,38.3398065035649,33.1255598126267,38.9286282117136,34.2134947789294,50.7875536106235,29.7142316077915
"Cox5b",211.257831812544,216.821613079152,378.534032156729,386.508213313811,210.820040040904,337.484963420269,455.295103118074,206.07172915742,195.566025711658,362.024100096239,377.142170406584
"Actr1b",29.4679051113185,35.1993574976533,34.570912530919,33.2916738358534,36.8691441365834,32.6598351697035,36.5106535161068,32.3214757170649,36.3254389010855,35.160614038124,36.5713619788203
"Tmem131",24.627766107527,21.8589617337025,15.3648500137418,14.6158568059844,18.0285242253778,14.6732592791421,15.4747140730519,18.3928839715894,19.8522747482677,9.11571475062473,12.2856919147599
"Coa5",87.8342872158623,81.1674682023512,48.189756861281,52.2381548806481,87.2190766579087,48.753087282311,68.4272512917764,90.8929897236799,75.8187939854052,57.2987784324983,58.8570356846639
"Unc50",24.627766107527,23.4662383317689,27.5868897974,30.3143696716714,25.8246428093249,32.6598351697035,28.5315040721894,23.3928912648371,22.8089965192862,29.9516341806241,25.142811360439
"Mgat4a",24.0583379894339,23.3055106719622,28.2852920707519,26.7957374776381,27.286415043815,31.2398423362381,25.1464103687093,22.1428894415252,20.2746635726989,35.160614038124,22.8571012367627
"Mitd1",31.4609035246444,31.9848043015206,42.6025386744658,48.9901867015404,30.3723786499608,45.9131016153802,48.1166890708958,35.535766119867,30.8343841834796,63.8100032543731,53.7141879063923
"Mrpl30",112.889124411959,117.813374638264,116.633179649767,116.114862403099,109.795336723922,113.599426677229,124.039504991807,104.285866402022,100.106151390201,93.7616374349972,101.142672972675
"Txndc9",127.409541423334,124.885391669756,108.950754642896,127.482751029975,123.113705971499,107.446124398879,112.433469437018,126.785899221636,99.0501793291227,113.295311900622,126.571198098573
"Eif5b",154.884448121326,149.476723620171,215.806302465737,233.3123808659,146.50206172334,241.872112633601,192.950341098366,165.000240677171,154.594309741829,255.240013017492,284.285196632236
"Pdcl3",102.354704227237,109.134081008706,134.791638756916,120.174822626983,95.6648717905181,107.446124398879,132.744031657898,86.0715541194768,84.0553760618141,106.784087078747,117.428357603868
"Rpl31",561.456124439807,558.367890168253,538.81735389099,528.60682114977,526.725261827929,491.317520379017,656.949970882531,546.250796787302,482.790426324892,523.502475678734,507.999074987051
"Rnf149",22.7771247237244,20.5731404552494,27.237688660724,30.8556977015227,17.21642853955,42.599785003961,17.8926381469663,21.0714593072578,16.0507753283866,6.51122482187481,28.2856627804938
"Map4k4",45.2695353884023,47.8968426223775,38.0629238976785,47.9075306418379,41.9041373887159,45.4397706708918,34.3345218495839,41.0714884802483,36.5366333133011,45.5785737531236,43.4284923498491
"Il1r2",42.7071088569833,42.1106468693386,30.3804988908076,25.9837454328612,42.0665565258815,33.1331661141919,32.8837674052353,34.2857642965551,33.1575227178513,24.7426543231243,24.5713838295199
"Mrps9",67.3348749645103,63.9696086030411,70.5386296085417,79.0338923582862,64.1555591803984,74.786289229176,80.7586640687396,60.5358025861051,61.6687683669591,65.1122482187481,81.9998506868861
"Uxs1",15.9439873066071,16.7156766198901,20.952068200557,23.8184333134561,14.942560619232,16.0932521126075,20.0687698134892,18.0357405935003,19.4298859238364,22.1381643943743,18.8571085203292
"Tpp2",40.4293963846109,36.645906435913,37.0153204876506,40.5996022388457,36.8691441365834,39.7597993370303,34.0927294421925,42.1429186145156,40.5493271453978,39.0673489312488,37.7142170406584
"Wdr75",29.3255480817952,26.8415191877082,23.3964761572886,32.4796817910765,26.7991576323183,30.7665113917496,31.1912205534952,30.5357588266194,33.1575227178513,23.4404093587493,35.7142206824417
"Nabp1",165.703582365095,152.852004476111,149.807287633982,151.030520328506,178.985889156453,153.832556958748,165.869591470525,182.321694514493,186.062277161955,151.060415867495,171.999686806639
"Stat1",130.968467161415,134.368323598348,94.6335080391822,109.618926044883,132.20917765277,119.752728955579,86.5616818461341,128.214472733992,117.846482016312,96.3661273637471,107.142662047325
"Gls",37.7246128236686,42.4321021889519,32.4757057108633,32.2090177761509,43.365909623206,26.5065328913535,33.3673522200182,43.3929204378275,36.5366333133011,31.2538791449991,38.2856445715775
"Nab1",24.3430520484805,20.2516851356361,19.5552636538532,21.653121194051,23.2259366146759,16.0932521126075,19.8269774060977,21.2500309963024,19.0074970994052,16.9291845368745,21.9999599403841
"Ormdl1",18.6487708675494,21.0553234346693,23.7456772939645,27.0664014925638,17.8661050882122,19.8798996685151,28.7732964795809,14.8214501906983,16.6843585650335,9.11571475062473,19.7142498167078
"Asnsd1",24.627766107527,26.5200638680949,17.1108556971215,16.5105049104639,28.423349003974,17.5132449460729,19.8269774060977,30.8929022047085,26.1881071147361,11.7202046793746,18.2856809894101
"Stk17b",25.0548371960969,17.5193149189233,22.6980738839367,22.4651132388279,26.9615767694839,23.6665472244228,22.9702787021864,20.178600862035,24.4985518170112,22.1381643943743,21.7142461749246
"Ankrd44",29.0408340227486,25.0735149298352,23.7456772939645,25.9837454328612,27.9360915924773,25.0865400578882,19.1016001839234,29.6429003813966,26.3993015269517,19.5336744656244,26.8570939531962
"Sf3b1",168.835437014607,169.728408755808,125.712409203342,122.88146277624,175.737506413142,122.59271462251,99.860264252663,187.857416874875,171.278668306862,128.922251473121,125.428343036735
"Coq10b",64.6300914035681,60.5943277471018,76.8242500687088,73.6206120597734,58.308470242438,60.1130299500339,63.8331955513391,66.7858117026646,56.1777136493532,82.0414327556226,60.8570320428807
"Hspd1",106.055986994842,105.59807249296,95.3319103125341,92.8377571194937,90.6298785383856,120.226059900068,75.439231106128,101.428719377309,99.0501793291227,105.481842114372,123.999774209438
"Hspe1",378.812055561442,387.835843113413,560.467824364898,574.890367702054,348.064210945807,527.29067216014,663.236573474709,363.21481551663,349.104363392409,531.315945464984,583.141795302908
"Mob4",47.4048908312515,54.6474043342562,52.7293716380683,53.050146925425,50.0250942469942,44.9664397264033,52.4689524039416,45.8929240844513,43.9284377408476,40.3695938956238,50.2856227208779
"Gm10561",29.4679051113185,37.2888170751395,30.7297000274835,23.0064412686792,31.3468934729542,31.7131732807265,27.5643344426237,29.464328692352,28.7224400613234,22.1381643943743,25.4285251258985
"Satb2",21.2111973989684,22.6626000327357,16.7616545604456,20.5704651343485,16.8915902652188,13.2532664456768,23.2120711095778,20.8928876182133,24.4985518170112,22.1381643943743,17.9999672239506
"9130024F11Rik",190.473705502146,197.695021562162,174.251367201299,170.247665388226,178.985889156453,169.925809071356,153.29638628617,201.607436931306,185.006305100877,188.825519834369,156.285429706365
"Maip1",24.7701231370503,29.2524340848077,25.8408841140202,27.0664014925638,23.7131940261726,25.5598710023766,28.289711664798,26.25003828955,23.8649685803643,20.8359194299994,27.1428077186557
"Aox4",36.3010425284358,33.109897920167,39.1105273077063,32.4796817910765,34.2704379419343,30.7665113917496,36.2688611087154,37.6786263884017,39.4933550843197,29.9516341806241,24.5713838295199
"Bzw1",145.06181308422,154.941464053597,182.981395618197,183.510202119582,149.912863603817,169.925809071356,165.869591470525,135.357340295775,140.444284123383,147.153680974371,171.42825927572
"Clk1",33.311544908447,35.8422681368798,30.3804988908076,30.8556977015227,34.4328570790999,22.2465543909574,22.0031090726207,30.7143305156639,31.679161832342,22.1381643943743,21.7142461749246
"Ppil3",31.3185464951211,34.5564468584267,50.9833659546886,55.2154590448301,31.6717317472853,51.1197420047532,54.6450840704645,28.9286136252183,36.1142444888699,44.2763287887487,45.1427749426063
"Nif3l1",43.561251034123,43.5571958075983,35.9677170776228,33.2916738358534,40.6047842913914,33.1331661141919,34.8181066643668,48.2143560420306,48.7859092218067,33.858369073749,31.1428004350892
"Ndufb3",424.651019067937,431.714494240624,786.400959794238,816.863997045575,416.117829418179,781.942720294929,894.873699755704,432.857774244008,394.933550843197,879.015350953099,867.998419466063
"Cflar",274.03728183231,233.376562039235,326.153861655337,299.354400507755,224.625666699977,243.765436411555,222.932599614904,279.464693354733,241.606407574662,279.982667340617,280.856631446722
"Casp8",41.7106096503204,36.4851787761064,26.1900852506962,27.3370655074894,34.9201144905966,29.8198495027727,29.7404661091466,36.6071962541343,35.6918556644387,28.6493892162491,24.2856700640604
"Sumo1",219.229825465848,219.553983295865,259.107243413554,271.205342955489,204.810531965778,198.798996685151,310.219658683212,195.535999503791,173.179418016803,216.172664086244,217.428175514705
"Nop58",69.7549444664061,71.523808613953,82.411468255524,95.5443972687501,67.4039419237097,81.8862533965029,73.5048918469965,69.4643870383329,56.811296886,95.0638823993722,102.856955565432
"Bmpr2",17.0828435427933,20.2516851356361,16.4124534237696,14.8865208209101,17.21642853955,19.4065687240267,15.7165064804433,21.4286026853469,21.330635633777,18.2314295012495,18.8571085203292
"Fam117b",24.2006950189572,24.269876630802,16.0632522870937,21.3824571791254,22.2514217916825,25.0865400578882,20.0687698134892,26.9643250457282,21.7530244582082,14.3246946081246,16.5713983966529
"Carf",138.513389726149,146.905081063265,172.505361517919,170.518329403152,131.072243692611,158.092535459144,202.622037394023,133.928766783418,139.177117650089,158.873885653745,148.571158038957
"Raph1",21.4959114580149,21.5375064140892,26.8884875240481,17.3224969552408,18.8406199112056,19.8798996685151,24.421033146535,26.7857533566837,17.7403306261115,11.7202046793746,23.4285287676818
"Ctla4",281.724561426566,281.273404661613,218.250710422468,200.832699074823,258.246428093249,184.125737406009,225.108731281427,260.893237694099,232.52504784939,158.873885653745,175.999679523073
"Pard3b",37.7246128236686,31.1811660024874,24.7932807039924,27.3370655074894,27.4488341809806,24.6132091133997,24.421033146535,32.6786190951541,33.7911059544981,27.3471442518742,26.2856664222771
"Nrp2",151.040808324198,150.441089579011,138.632851260352,130.460055194157,140.817391922545,150.519240347329,123.555920177024,155.53594115781,148.258477375361,149.758170903121,129.999763284088
"Ino80d",17.6522716608864,17.3585872591167,19.5552636538532,16.5105049104639,16.5667519908877,17.9865758905613,19.3433925913149,20.0000291729905,16.0507753283866,20.8359194299994,14.5714020384362
"Ndufs1",38.436397971285,34.7171745182334,17.8092579704734,29.5023776268945,33.9455996676032,30.2931804472612,24.421033146535,36.2500528760452,40.5493271453978,19.5336744656244,36.2856482133608
"Eef1b2",560.174911174098,554.349698673087,418.342961737787,439.558360239236,501.712714704432,436.411130818356,390.494737937169,521.786475388198,483.424009561539,412.811653706863,416.57067004
"Klf7",51.3908876579032,51.4328511381235,49.2373602713088,51.1554988209455,51.6492856186499,52.0664038937301,43.280840923067,42.6786336816493,48.9971036340223,52.0897985749984,53.4284741409328
"Plekhm3",18.7911278970727,19.2873191767963,16.7616545604456,21.1117931641997,23.0635174775103,14.6732592791421,18.859807776532,25.5357515333718,20.9082468093457,27.3471442518742,26.2856664222771
"Idh1",113.173838471006,115.241732081358,71.5862330185696,86.6124847762041,109.795336723922,86.6195628413874,68.9108361065592,110.714447207626,106.653178168885,91.1571475062473,82.5712782178052
"Rpe",27.0478356094228,28.1273404661613,36.3169182142987,32.7503458060022,27.6112533181461,23.1932162799343,36.7524459234983,24.8214647771935,29.3560232979703,16.9291845368745,28.8570903114129
"Acadl",60.9288086359628,55.6117702930961,51.6817682280405,51.4261628358712,55.5473449106234,48.753087282311,42.0718788861099,50.5357879996098,53.4321862905502,65.1122482187481,52.8570466100137
"Fn1",71.3208717911621,78.9172809650583,40.8565329910861,48.1781946567635,57.3339554194446,40.2331302815187,37.719615553064,79.1072582467391,74.5516275121115,39.0673489312488,40.8570684607133
"Rpl37a",3270.51039626778,3418.99877940676,3995.55940584621,3654.23486551103,3029.92900382363,3964.61999103531,4262.31655749623,3185.18321748778,3068.23242066843,4224.48266443237,3729.70749430875
"Tns1",18.9334849265959,21.3767787542826,15.7140511504177,16.5105049104639,21.2769069686891,23.6665472244228,15.4747140730519,17.3214538373221,22.5978021070706,22.1381643943743,14.2856882729767
