"","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome"
"Xkr4",4.08611766223416,4.08219806992396,5.19824364865826,5.05812517374966,4.27504520794468,4.89634342349836,5.94482227752049,4.29552761426406,4.04323269048478,3.78559256473257
"Gm1992",0,0,0,0,0,0,0.258470533805239,0,0.134774423016159,0
"Gm19938",0,0,0,0,0,0,0,0,0,0
"Gm37381",0.185732621010644,0,1.03964872973165,0.948398470078062,0.407147162661398,0.288020201382257,0.258470533805239,0.390502510387642,0.404323269048478,0.757118512946514
"Rp1",1.67159358909579,2.04109903496198,0,3.16132823359354,2.85003013862978,2.88020201382257,3.3601169394681,1.95251255193821,1.88684192222623,1.13567776941977
"Sox17",0,0,0,0,0,0,0,0,0,0
"Gm37587",0,0,0,0,0.203573581330699,0,0,0.195251255193821,0,0
"Gm37323",0,0,0,0,0,0,0,0,0,0
"Mrpl15",76.7075724773959,83.4995059757173,94.6080344055803,95.1559798311656,66.9757082577999,110.599757330787,113.727034874305,79.4672608638851,89.2206680366975,104.103795530146
"Lypla1",42.9042354534587,39.8942084106205,29.1101644324862,47.4199235039031,45.3969086367459,51.2675958460417,59.7066933090101,53.1083414127193,60.1093926652071,53.3768551627292
"Tcea1",68.1638719109063,69.0262582732596,129.956091216456,158.698677326396,57.0006027725957,154.954868343654,178.344668325615,57.9896227925648,59.3007461271101,112.810658429031
"Rgs20",1.85732621010644,0.927772288619081,4.1585949189266,0.948398470078062,1.22144148798419,0.576040402764513,0.258470533805239,1.56201004155057,1.34774423016159,0.757118512946514
"Gm16041",0,0,0,0,0,0,0,0,0,0
"Atp6v1h",78.193433445481,84.0561693488887,70.6961136217523,62.9104318485114,92.625979505468,69.1248483317416,67.4608093231673,104.2641702735,107.549989566895,73.4404957558119
"Oprk1",0,0.185554457723816,0,0,0,0,0.516941067610477,0,0,0
"Npbwr1",0,0,0,0,0,0,0,0,0,0
"Rb1cc1",22.4736471422879,23.9365250463723,25.9912182432913,27.5035556322638,19.1359166450857,28.8020201382257,26.3639944481343,17.5726129674439,22.6421030667148,20.8207591060291
"4732440D04Rik",0.371465242021287,0.185554457723816,0,0,0.814294325322796,1.15208080552903,0,1.36675878635675,0.404323269048478,0.378559256473257
"Alkal1",2.60025669414901,2.41220795040961,3.11894618919495,1.89679694015612,2.23930939463769,3.16822221520482,2.58470533805239,3.12402008310114,3.50413499842014,4.16415182120583
"St18",15.2300749228728,14.10213878701,12.4757847567798,14.8582426978896,13.2322827864954,15.8411110760241,20.4191721706138,13.6675878635675,15.229509800826,12.8710147200907
"Pcmtd1",13.9299465757983,12.4321486674957,14.5550822162431,19.2841022249206,15.8787393437945,21.313494902287,14.7328204268986,11.3245728012416,10.6471794182766,15.8994887718768
"Gm26901",11.5154225026599,6.67996047805738,11.4361360270482,11.6969144642961,9.77153190387355,6.33644443040965,4.65246960849429,13.081834097986,5.66052576667869,7.9497443859384
"Gm30414",0.185732621010644,0.185554457723816,0,0,0,0,0,0,0,0.378559256473257
"Sntg1",10.2152941555854,12.8032575829433,8.31718983785321,13.5937114044522,8.75366399722005,10.6567474511435,10.3388213522095,9.76256275969105,10.2428561492281,9.46398141183143
"Rrs1",17.0874011329792,16.3287922796958,16.6343796757064,18.0195709314832,16.6930336691173,15.5530908746419,15.5082320283143,21.6728893265141,17.1163517230522,12.4924554636175
"Adhfe1",20.9877861742027,14.4732477024577,17.6740284054381,17.0711724614051,15.0644450184717,14.9770504718773,13.1819972240672,14.6438441395366,14.1513144166967,12.1138962071442
"2610203C22Rik",1.48586096808515,1.1133267463429,1.03964872973165,0.316132823359354,1.01786790665349,0.576040402764513,0.516941067610477,0.195251255193821,0.404323269048478,0
"Vxn",0,0,0,0,0,0,0,0,0,0
"Gm29520",0,0.185554457723816,0,0,0,0,0,0,0,0
"Mybl1",2.22879145212772,2.59776240813343,0,0.948398470078062,1.83216223197629,0.576040402764513,0.516941067610477,2.34301506232585,2.15639076825855,0.378559256473257
"Vcpip1",104.381733007982,89.6228030806032,110.202765351555,85.0397294836662,80.8187117882875,76.9013937690625,77.5411601415716,73.023969442489,65.7699184318858,67.0049883957665
"1700034P13Rik",10.2152941555854,10.3910496325337,7.27754110812156,2.21292976351548,5.70006027725957,3.16822221520482,3.10164640566286,7.61479895255902,8.35601422700188,1.89279628236629
"Sgk3",26.5597648045221,27.8331686585724,24.9515695135596,19.9163678716393,23.6145354343611,22.1775555064338,22.745406974861,22.8443968576771,22.7768774897309,20.4421998495559
"Mcmdc2",1.67159358909579,1.66999011951435,0,0.316132823359354,1.01786790665349,0.288020201382257,0.258470533805239,0.976256275969105,1.07819538412928,0
